,Name,Address,Geocodes
169,Boscobel Area Health Care,"205 Parker St, Newark, NJ 07104, USA","{'lat': 40.75998939999999, 'lng': -74.17714029999999}"
170,Boscobel Area Health Ca,"205 Parker St, Newark, NJ 07104, USA","{'lat': 40.75998939999999, 'lng': -74.17714029999999}"
171,Boscobel Area Health Care,"205 Parker St, Newark, NJ 07104, USA","{'lat': 40.75998939999999, 'lng': -74.17714029999999}"
172,Boscobel Area Health Ca,"205 Parker St, Newark, NJ 07104, USA","{'lat': 40.75998939999999, 'lng': -74.17714029999999}"
173,Southwest Bus Svc,"22265 Melrose Rd, Peck, ID 83545, USA","{'lat': 46.467718, 'lng': -116.419558}"
174,Riteway Bus Service Inc,"2835 Smith Ave, Baltimore, MD 21209, USA","{'lat': 39.374539, 'lng': -76.6905543}"
175,Warco Inc,"570 Warco St, Bloomington, WI 53804, USA","{'lat': 42.892371, 'lng': -90.9348707}"
176,Warco Transportation,"570 Warco St, Bloomington, WI 53804, USA","{'lat': 42.892371, 'lng': -90.9348707}"
177,Brown Bus Svc Inc,"1610 Academy St, Scranton, PA 18504, USA","{'lat': 41.412901, 'lng': -75.688034}"
178,Lamers Limousine Service,"2937 Monroe Rd, Charlotte, NC 28205, USA","{'lat': 35.2045336, 'lng': -80.8058241}"
179,Lamers Limousine Svc,"2937 Monroe Rd, Charlotte, NC 28205, USA","{'lat': 35.2045336, 'lng': -80.8058241}"
180,"Lamers Bus Lines, Inc","2937 Monroe Rd, Charlotte, NC 28205, USA","{'lat': 35.2045336, 'lng': -80.8058241}"
181,Kobussen Buses Ltd,"200 S Ketch Dr, Sunrise, FL 33326, USA","{'lat': 26.1181876, 'lng': -80.35717629999999}"
182,Kobussen Buses Ltd.,"W914 County Rd CE, Kaukauna, WI 54130, USA","{'lat': 44.2561568, 'lng': -88.2332248}"
183,Kobussen Trailways,"W914 County Rd CE, Kaukauna, WI 54130, USA","{'lat': 44.2561568, 'lng': -88.2332248}"
184,Grosskopf Bus Inc,"1208 E Green Bay St, Shawano, WI 54166, USA","{'lat': 44.78026089999999, 'lng': -88.58472499999999}"
185,Two Rivers Buses Inc,"3515 Lincoln Ave, Evansville, IN 47714, USA","{'lat': 37.96914700000001, 'lng': -87.5070836}"
186,First Student Inc,"1840 Lime Kiln Rd, Green Bay, WI 54311, USA","{'lat': 44.4677678, 'lng': -87.98289659999999}"
187,Lamers Bus Lines,"2407 S Point Rd, Green Bay, WI 54313, USA","{'lat': 44.5001539, 'lng': -88.1093066}"
188,"Lamers Bus Lines, Inc","2407 S Point Rd, Green Bay, WI 54313, USA","{'lat': 44.5001539, 'lng': -88.1093066}"
189,Lamers Bus Line,"2407 S Point Rd, Green Bay, WI 54313, USA","{'lat': 44.5001539, 'lng': -88.1093066}"
190,Lamers Bus Lines Inc,"2407 S Point Rd, Green Bay, WI 54313, USA","{'lat': 44.5001539, 'lng': -88.1093066}"
191,First Group Inc,"730 S 17th Ave, Maywood, IL 60153, USA","{'lat': 41.880446, 'lng': -87.85420479999999}"
192,Wausau School District,"415 Seymour St, Syracuse, NY 13204, USA","{'lat': 43.041956, 'lng': -76.164885}"
193,Wausau School District,"2607 N 18th St, Philadelphia, PA 19132, USA","{'lat': 39.9933815, 'lng': -75.1610376}"
194,Wausau Schools,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
195,Wausau School District,"1200 W Wausau Ave, Wausau, WI 54401, USA","{'lat': 44.9746921, 'lng': -89.6513445}"
196,Wausau School Foundation,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
197,Wausau Children's Museum Inc.,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
198,Wausau School District,"3101 N 13th St, Wausau, WI 54403, USA","{'lat': 44.9825715, 'lng': -89.60853569999999}"
199,Wausau School District,"1400 Stewart Rd, Little Rock, AR 72223, USA","{'lat': 34.7449373, 'lng': -92.47588789999999}"
200,Wausau School Dist-Secondary,"415 Seymour St, Syracuse, NY 13204, USA","{'lat': 43.041956, 'lng': -76.164885}"
201,Wausau School District,"650 S 7th Ave, Phoenix, AZ 85007, USA","{'lat': 33.4418131, 'lng': -112.0825687}"
202,Horace Mann Middle School,"3101 N 13th St, Wausau, WI 54403, USA","{'lat': 44.9825715, 'lng': -89.60853569999999}"
203,Texas Choral Directors Associa,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
204,Wausau School District,"1018 S 12th Ave, Wausau, WI 54401, USA","{'lat': 44.9494667, 'lng': -89.6523737}"
205,Wausau School District,"1918 Lamont St, Wausau, WI 54403, USA","{'lat': 44.9369047, 'lng': -89.6243554}"
206,Wausau School District,"5901 N 44th Ave, Glendale, AZ 85301, USA","{'lat': 33.5220854, 'lng': -112.1534241}"
207,Wausau School District,"2701 W Robin Ln, Phoenix, AZ 85027, USA","{'lat': 33.6903019, 'lng': -112.1176271}"
208,Wausau School District,"720 S 6th Ave, Tucson, AZ 85701, USA","{'lat': 32.2127853, 'lng': -110.9688025}"
209,John Muir Middle School - Guidance-Counseling,"1400 Stewart Rd, Little Rock, AR 72223, USA","{'lat': 34.7449373, 'lng': -92.47588789999999}"
210,John Muir Middle School,"1400 Stewart Rd, Little Rock, AR 72223, USA","{'lat': 34.7449373, 'lng': -92.47588789999999}"
211,Wausau School District,"700 W Strowbridge St, Wausau, WI 54401, USA","{'lat': 44.978622, 'lng': -89.64430999999999}"
212,Wausau School District,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
213,Wausau School District,"1600 Kickbusch St, Wausau, WI 54403, USA","{'lat': 44.9566823, 'lng': -89.6059598}"
214,Wausau School District,"T10331 Quarry Rd, Wausau, WI 54403, USA","{'lat': 45.0407974, 'lng': -89.49481469999999}"
215,Wausau School District,"500 N 4th Ave, Tucson, AZ 85705, USA","{'lat': 32.2280786, 'lng': -110.9654562}"
216,Wausau School District,"4303 N Troy St, Chicago, IL 60618, USA","{'lat': 41.95965, 'lng': -87.70661799999999}"
217,Wausau School District,"109 N 56th Ave, Yakima, WA 98908, USA","{'lat': 46.5989863, 'lng': -120.5828463}"
218,Wausau School District,"1509 N 5th St, Philadelphia, PA 19122, USA","{'lat': 39.9746485, 'lng': -75.1437535}"
219,,"1860 Farm to Market 359, Richmond, TX 77469, USA","{'lat': 29.6209753, 'lng': -95.7425763}"
220,Wausau School District,"5400 Bittersweet Rd, Wausau, WI 54401, USA","{'lat': 44.907337, 'lng': -89.67272899999999}"
221,Wausau School District,"500 W Randolph St, Chicago, IL 60661, USA","{'lat': 41.8845109, 'lng': -87.640639}"
222,Texas Choral Directors Associa,"415 Seymour St, Syracuse, NY 13204, USA","{'lat': 43.041956, 'lng': -76.164885}"
223,Wausau School Dist,"650 S 7th Ave, Phoenix, AZ 85007, USA","{'lat': 33.4418131, 'lng': -112.0825687}"
224,Lakeland Bus Service Inc,"Co Rd U, Caledonia, WI, USA","{'lat': 43.44768810000001, 'lng': -89.50933119999999}"
225,First Student Inc,"6206 Alderson St, Schofield, WI 54476, USA","{'lat': 44.900837, 'lng': -89.593637}"
226,Marshfeld Bus Svc Chrters Turs,"1507 S Anton Ave, Marshfield, WI 54449, USA","{'lat': 44.652797, 'lng': -90.145001}"
227,Burnett Transit Inc,"B3866 State Hwy 13, Spencer, WI 54479, USA","{'lat': 44.7840577, 'lng': -90.304902}"
228,Chippewa Yellow Bus Co,"510 E South Ave, Fresno, CA 93725, USA","{'lat': 36.6197727, 'lng': -119.7815908}"
229,Student Transit,"1001 Menomonie St, Eau Claire, WI 54703, USA","{'lat': 44.8007485, 'lng': -91.5206188}"
230,Stanley Boyd School District,"507 E 1st Ave, Denver, CO 80203, USA","{'lat': 39.71851059999999, 'lng': -104.9811674}"
231,Stanley Elementary School,"507 E 1st Ave, Denver, CO 80203, USA","{'lat': 39.71851059999999, 'lng': -104.9811674}"
232,Stanley Boyd High School,"507 E 1st Ave, Denver, CO 80203, USA","{'lat': 39.71851059999999, 'lng': -104.9811674}"
233,Stanley-Boyd School District,"507 E 1st Ave, Denver, CO 80203, USA","{'lat': 39.71851059999999, 'lng': -104.9811674}"
234,Stanley Boyd School Dist,"507 E 1st Ave, Denver, CO 80203, USA","{'lat': 39.71851059999999, 'lng': -104.9811674}"
235,Stucker Bus Svc,"6922 County Rd D, Almond, WI 54909, USA","{'lat': 44.2592343, 'lng': -89.4410104}"
236,Lamers Bus Lines Inc,"1825 Novak Dr, Menasha, WI 54952, USA","{'lat': 44.2349977, 'lng': -88.429711}"
237,Harlow's School Bus Svc Inc,"206 S Veterans St, Flandreau, SD 57028, USA","{'lat': 44.0463768, 'lng': -96.6085835}"
238,B-J School Buses Inc,"PO Box 507, Elkhorn, NE 68022, USA","{'lat': 41.2831958, 'lng': -96.2368465}"
239,American Bus Inc,"305 W Industrial Rd, Canton, SD 57013, USA","{'lat': 43.301184, 'lng': -96.621568}"
240,School Bus Inc,"5100 W 8th St, Los Angeles, CA 90036, USA","{'lat': 34.0604113, 'lng': -118.3387918}"
241,Dakota Trailways,"631 S 32nd St, Phoenix, AZ 85034, USA","{'lat': 33.4439797, 'lng': -112.0129068}"
242,Mortenson Einar,"2237 Sherman Ave, Evanston, IL 60201, USA","{'lat': 42.0588743, 'lng': -87.68124639999999}"
